1500,160,100
1500,270,100
-800,160,100
-800,270,100
230,-500,100
310,-500,100
230,1000,100
310,1000,100

1500,160,100
1500,270,100
-800,160,100
-800,270,100
230,-500,100
310,-500,100
230,1000,100
310,1000,100
w
1500,160,100
1500,270,100
-800,160,100
-800,270,100
230,-500,100
310,-500,100
230,1000,100
310,1000,100

1500,160,100
1500,270,100
-800,160,100
-800,270,100
230,-500,100
310,-500,100
230,1000,100
310,1000,100

1500,160,100
1500,270,100
-800,160,100
-800,270,100
230,-500,100
310,-500,100
230,1000,100
310,1000,100
w
1500,160,125
1500,270,125
-800,160,125
-800,270,125
230,-500,125
310,-500,125
230,1000,125
310,1000,125

1500,160,125
1500,270,125
-800,160,125
-800,270,125
230,-500,125
310,-500,125
230,1000,125
310,1000,125
w
1500,160,125
1500,270,125
-800,160,125
-800,270,125
230,-500,125
310,-500,125
230,1000,125
310,1000,125

1500,160,125
1500,270,125
-800,160,125
-800,270,125
230,-500,125
310,-500,125
230,1000,125
310,1000,125

1500,160,125
1500,270,125
-800,160,125
-800,270,125
230,-500,125
310,-500,125
230,1000,125
310,1000,125
w
1500,160,125
1500,270,125
-800,160,125
-800,270,125
230,-500,125
310,-500,125
230,1000,125
310,1000,125

1500,160,150
1500,270,150
-800,160,150
-800,270,150
230,-500,150
310,-500,150
230,1000,150
310,1000,150
w
1500,160,150
1500,270,150
-800,160,150
-800,270,150
230,-500,150
310,-500,150
230,1000,150
310,1000,150

1500,160,150
1500,270,150
-800,160,150
-800,270,150
230,-500,150
310,-500,150
230,1000,150
310,1000,150
w
1500,160,150
1500,270,150
-800,160,150
-800,270,150
230,-500,150
310,-500,150
230,1000,150
310,1000,150

1500,160,150
1500,270,150
-800,160,150
-800,270,150
230,-500,150
310,-500,150
230,1000,150
310,1000,150

1500,160,150
1500,270,150
-800,160,150
-800,270,150
230,-500,150
310,-500,150
230,1000,150
310,1000,150
w
1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350
w
1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250
w
1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350
w
1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350
w
1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350
w
1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250

1500,160,250
1500,270,250
-800,160,250
-800,270,250
230,-500,250
310,-500,250
230,1000,250
310,1000,250
w
1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350
w
1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350
w
1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350

1500,160,350
1500,270,350
-800,160,350
-800,270,350
230,-500,350
310,-500,350
230,1000,350
310,1000,350
w



